rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
1,"De La Cruz-Mejía, Bethania",4652,45,233,5.18,57,610,0.29,12,0.27,2,18,19,0.40,239,9,0.55,168,3.73,11,0.24,,131
2,"Valentin-Anderson, Natalia",3337,46,17,0.37,3,52,0.27,543,11.80,11,13,12,0.28,2,0,0.00,195,4.24,8,0.17,,0
3,"Drews, Dani",3308,45,222,4.93,76,661,0.22,1,0.02,2,14,11,0.31,160,6,0.43,119,2.64,17,0.38,,68
4,"Lichtman, Cassidy",3279,46,88,1.91,29,355,0.17,13,0.28,0,11,3,0.24,203,8,0.61,144,3.13,13,0.28,,123
5,"Tomkom, Nootsara",3027,45,8,0.18,2,24,0.25,533,11.84,9,9,5,0.20,1,0,0.00,146,3.24,4,0.09,,0
6,"Edmond, Leah",2957,39,172,4.41,59,435,0.26,7,0.18,3,3,16,0.08,299,16,0.47,74,1.90,16,0.41,,142
7,"Hentz, Morgan",2950,46,0,0.00,0,0,0.00,44,0.96,1,0,0,0.00,270,7,0.54,229,4.98,0,0.00,,147
8,"Castro, Sheilla",2799,36,137,3.81,38,396,0.25,8,0.22,2,5,27,0.14,3,0,0.67,103,2.86,9,0.25,,2
9,"Stone, Ronika",2784,38,71,1.87,13,150,0.39,0,0.00,0,7,7,0.18,4,0,0.25,26,0.68,21,0.55,,1
10,"Fairs, Erin",2704,42,118,2.81,50,385,0.18,5,0.12,3,7,11,0.17,377,23,0.51,159,3.79,9,0.21,,192
11,"Vélez Agosto, Nomaris",2701,45,0,0.00,0,0,0.00,27,0.60,0,0,0,0.00,254,13,0.54,194,4.31,0,0.00,,137
12,"Cruz, Aury",2667,35,107,3.06,50,337,0.17,10,0.29,0,7,5,0.20,168,12,0.55,127,3.63,3,0.09,,93
13,"Stalzer, Lindsay",2604,46,157,3.41,64,526,0.18,5,0.11,2,11,10,0.24,327,22,0.50,122,2.65,10,0.22,,164
14,"Lishman, Hana",2597,45,0,0.00,0,0,0.00,41,0.91,0,0,0,0.00,278,11,0.58,181,4.02,0,0.00,,161
15,"Benson, Amanda",2368,46,0,0.00,0,0,0.00,33,0.72,2,0,0,0.00,187,7,0.65,214,4.65,0,0.00,,121
16,"Rosenthal, Jenna",2348,45,91,2.02,21,200,0.35,2,0.04,0,1,8,0.02,1,0,0.00,18,0.40,26,0.58,,0
17,"Childress, Alisha",2293,39,12,0.31,5,25,0.28,374,9.59,5,5,3,0.13,1,0,0.00,108,2.77,7,0.18,,0
18,"Villines, Madison",2267,46,146,3.17,74,486,0.15,6,0.13,1,5,14,0.11,303,16,0.50,137,2.98,15,0.33,,150
19,"Fonoimoana, Falyn",2209,44,126,2.86,54,376,0.19,2,0.05,2,10,14,0.23,2,0,0.50,103,2.34,9,0.20,,1
20,"Lowe, Karsta",1771,21,110,5.24,32,288,0.27,0,0.00,1,1,1,0.05,1,0,0.00,73,3.48,8,0.38,,0
21,"Sandbothe, Taylor",2098,40,77,1.93,22,217,0.25,7,0.18,2,8,7,0.20,5,0,0.40,41,1.03,22,0.55,,2
22,"Lloyd, Carli",2076,45,15,0.33,7,55,0.15,355,7.89,7,4,11,0.09,2,0,0.00,119,2.64,18,0.40,,0
23,"Bastianelli, Ali",2308,44,47,1.07,20,134,0.20,3,0.07,0,12,21,0.27,2,1,0.00,18,0.41,33,0.75,,0
24,"Mau, Kalei",2033,35,57,1.63,35,215,0.10,1,0.03,0,3,4,0.09,140,6,0.54,58,1.66,9,0.26,,76
25,"Peterson, Jamie",2012,33,74,2.24,25,242,0.20,6,0.18,0,4,22,0.12,239,18,0.55,63,1.91,6,0.18,,132
26,"Xue, Eri",1978,44,68,1.55,28,154,0.26,13,0.30,3,11,8,0.25,7,0,0.57,25,0.57,17,0.39,,4
27,"Sybeldon, Lianna",1924,44,59,1.34,18,165,0.25,8,0.18,1,3,13,0.07,4,0,0.50,28,0.64,21,0.48,,2
28,"McCage, Molly",1921,32,61,1.91,27,162,0.21,0,0.00,0,6,16,0.19,1,0,1.00,19,0.59,27,0.84,,1
29,"Willis, Emma",758,16,20,1.25,7,48,0.27,4,0.25,0,1,4,0.06,3,0,0.00,6,0.38,3,0.19,,0
30,"Morgan, Taylor",1839,34,48,1.41,10,116,0.33,6,0.18,0,5,10,0.15,3,0,0.67,25,0.74,20,0.59,,2
31,"Fricano, Taylor",1119,16,22,1.38,4,71,0.25,0,0.00,1,1,2,0.06,0,0,0.00,27,1.69,6,0.38,,0
32,"Dilfer, Tori",1728,30,1,0.03,0,2,0.50,12,0.40,1,5,5,0.17,0,0,0.00,20,0.67,0,0.00,,0
33,"Nichol, Valerie",1661,20,16,0.80,5,41,0.27,124,6.20,0,2,6,0.10,2,0,0.00,56,2.80,5,0.25,,0
34,"Santos, Ray",979,21,3,0.14,2,11,0.09,107,5.10,5,3,3,0.14,0,0,0.00,50,2.38,6,0.29,,0
35,"Withers, Niki",518,4,2,0.50,0,3,0.67,0,0.00,1,0,0,0.00,0,0,0.00,2,0.50,2,0.50,,0
36,"Bruns Tegenrot, Taylor",1605,31,4,0.13,0,9,0.44,47,1.52,0,3,4,0.10,0,0,0.00,26,0.84,1,0.03,,0
37,"Wilson, Erica",1085,20,34,1.70,14,107,0.19,4,0.20,0,2,7,0.10,0,0,0.00,45,2.25,1,0.05,,0
38,"McClendon, Deja",1379,33,38,1.15,23,120,0.13,5,0.15,1,1,5,0.03,196,11,0.57,58,1.76,4,0.12,,111
39,"Crittenden, Naya",607,11,3,0.27,5,15,-0.13,0,0.00,0,0,1,0.00,0,0,0.00,3,0.27,3,0.27,,0
40,"Fara, Rachael",1125,23,37,1.61,12,80,0.31,1,0.04,1,5,6,0.22,0,0,0.00,12,0.52,7,0.30,,0
41,"Santos-Lamb, Noami",834,11,14,1.27,12,57,0.04,1,0.09,1,0,3,0.00,87,2,0.54,17,1.55,3,0.27,,47
42,"Stivrins, Lauren",902,15,25,1.67,13,63,0.19,1,0.07,0,7,12,0.47,5,0,0.20,15,1.00,11,0.73,,1
43,"McNeal, Sha'Dare",622,11,16,1.45,9,46,0.15,1,0.09,1,0,3,0.00,26,2,0.62,32,2.91,1,0.09,,16
44,"Boe, Tina",92,1,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,1,1.00,,0
