year,rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
2021,1,"Larson, Jordan",4569,45,213,4.73,79,581,0.23,37,0.82,NA,15,15,0.33,126,3,0.69,190,4.22,19,0.42,NA,87
2021,2,"De La Cruz-Mejía, Bethania",3690,45,193,4.29,51,499,0.28,9,0.2,NA,14,22,0.31,171,6,0.61,117,2.6,8,0.18,NA,104
2021,3,"King, Brie",3675,45,20,0.44,3,50,0.34,570,12.67,NA,9,7,0.2,NA,NA,NA,177,3.93,17,0.38,NA,NA
2021,4,"Cruz, Aury",3582,42,171,4.07,54,418,0.28,13,0.31,1,10,9,0.24,145,5,0.62,117,2.79,9,0.21,NA,90
2021,5,"Lowe, Karsta",3566,45,230,5.11,74,558,0.28,7,0.16,2,4,13,0.09,1,1,NA,131,2.91,17,0.38,NA,NA
2021,6,"McClendon, Deja",3127,44,118,2.68,58,342,0.18,9,0.2,NA,9,13,0.2,326,19,0.59,128,2.91,14,0.32,NA,193
2021,7,"Nwanebu, Ebony",3031,45,167,3.71,62,477,0.22,5,0.11,NA,4,7,0.09,NA,NA,NA,126,2.8,21,0.47,NA,NA
2021,8,"Hunter, Kelly",3027,43,20,0.47,5,49,0.31,415,9.65,NA,9,7,0.21,NA,NA,NA,132,3.07,15,0.35,NA,NA
2021,9,"Gibbemeyer, Lauren",2891,45,95,2.11,17,225,0.35,6,0.13,1,8,7,0.18,NA,NA,NA,21,0.47,33,0.73,NA,NA
2021,10,"Tupac, Kristen",2825,45,NA,NA,NA,NA,NA,31,0.69,NA,NA,NA,NA,390,9,0.57,200,4.44,NA,NA,NA,221
2021,11,"Sybeldon, Lianna",2798,45,84,1.87,13,199,0.36,3,0.07,NA,7,7,0.16,1,NA,1,37,0.82,27,0.6,NA,1
2021,12,"Stalzer, Lindsay",2745,43,90,2.09,43,293,0.16,3,0.07,NA,3,9,0.07,436,16,0.47,116,2.7,18,0.42,NA,205
2021,13,"Morgan, Taylor",2551,45,82,1.82,16,168,0.39,2,0.04,NA,2,10,0.04,NA,NA,NA,37,0.82,23,0.51,NA,NA
2021,14,"Clark, Tiffany",2529,45,NA,NA,NA,NA,NA,28,0.62,NA,NA,NA,NA,353,13,0.58,173,3.84,NA,NA,NA,206
2021,15,"Edmond, Leah",2260,36,123,3.42,43,337,0.24,4,0.11,NA,9,9,0.25,294,15,0.49,100,2.78,22,0.61,NA,144
2021,16,"Vélez Agosto, Nomaris",2434,45,NA,NA,NA,NA,NA,26,0.58,NA,NA,NA,NA,211,10,0.59,176,3.91,NA,NA,NA,124
2021,17,"Manns, Kaylee",2406,33,13,0.39,2,24,0.46,313,9.48,1,NA,4,NA,NA,NA,NA,69,2.09,1,0.03,NA,NA
2021,18,"Seliger-Swenson, Samantha",2390,40,16,0.4,3,43,0.3,429,10.73,NA,9,4,0.23,NA,NA,NA,133,3.33,4,0.1,NA,NA
2021,19,"Castro, Sheilla",2350,39,100,2.56,34,330,0.2,6,0.15,NA,3,11,0.08,2,NA,NA,76,1.95,12,0.31,NA,NA
2021,20,"Grant, Nia",2323,44,63,1.43,20,142,0.3,3,0.07,1,NA,2,NA,NA,NA,NA,16,0.36,22,0.5,NA,NA
2021,21,"Sandbothe, Taylor",2315,45,68,1.51,22,187,0.25,9,0.2,NA,14,16,0.31,NA,NA,NA,34,0.76,28,0.62,NA,NA
2021,22,"McCage, Molly",2247,45,117,2.6,26,233,0.39,3,0.07,NA,3,16,0.07,NA,NA,NA,24,0.53,26,0.58,NA,NA
2021,23,"Atkinson, Sherridan",2230,37,113,3.05,35,329,0.24,1,0.03,1,1,7,0.03,NA,NA,NA,85,2.3,18,0.49,NA,NA
2021,24,"Lichtman, Cassidy",2123,36,66,1.83,20,232,0.2,5,0.14,NA,8,NA,0.22,228,5,0.62,114,3.17,5,0.14,NA,142
2021,25,"Rosado, Dalianliz",2199,45,NA,NA,NA,NA,NA,38,0.84,NA,NA,NA,NA,328,21,0.44,165,3.67,NA,NA,NA,144
2021,26,"Lohman, Molly",2003,40,2,0.05,2,11,NA,1,0.03,NA,6,5,0.15,NA,NA,NA,14,0.35,4,0.1,NA,NA
2021,27,"Abbott, Symone",1914,42,118,2.81,51,333,0.2,6,0.14,NA,2,14,0.05,371,18,0.49,108,2.57,5,0.12,NA,180
2021,28,"Holston, Alex",1863,20,44,2.2,15,121,0.24,2,0.1,NA,1,1,0.05,NA,NA,NA,17,0.85,5,0.25,NA,NA
2021,29,"Wilson, Erica",899,9,12,1.33,7,32,0.16,NA,NA,NA,1,NA,0.11,35,6,0.17,7,0.78,NA,NA,NA,6
2021,30,"Freeman, Sareea",938,12,4,0.33,1,6,0.5,NA,NA,NA,1,1,0.08,NA,NA,NA,6,0.5,2,0.17,NA,NA
2021,31,"Bruns, Taylor",1524,29,7,0.24,3,36,0.11,297,10.24,NA,5,3,0.17,NA,NA,NA,51,1.76,3,0.1,NA,NA
2021,32,"Crocker, Cori",1603,45,68,1.51,14,156,0.35,7,0.16,2,4,9,0.09,NA,NA,NA,32,0.71,29,0.64,NA,NA
2021,33,"Toliver, Holly",1461,36,4,0.11,2,11,0.18,2,0.06,1,4,15,0.11,51,6,0.39,27,0.75,1,0.03,NA,20
