year,team,number,player,points,matches_started,sets_started,sets_played,hitting_efficiency,kill_percentage,kills,attack_errors,attacks_blocked,attack_attempts,in_system_percentage,reception_errors,reception_attempts,service_aces,service_errors,opponent_in_system_percentage,service_attempts,blocks,block_touch_percentage,digs,dig_percentage,assists,setting_efficiency
2025,Atlanta,8,Kayla Haneline,47,5,20,23,0.35,48.3,29,6,2,60,50,0,8,8,10,33.8,71,10,38.3,8,80,1,0
2025,Atlanta,3,Marta Bechis,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,50,8,0,100,2,66.7,13,0
2025,Atlanta,23,Kelsey Cook,198,16,66,66,0.22,33.5,166,32,25,495,60,13,270,19,19,42.5,287,13,47.5,218,87.9,17,0.164
2025,Atlanta,10,Madi Bugg,24,9,36,59,0.304,39.1,9,2,0,23,0,0,1,8,10,39.8,191,7,49,125,82.8,397,0.246
2025,Atlanta,9,Iga Wasilewska,1,1,1,2,0.333,33.3,1,0,0,3,0,0,0,0,0,50,2,0,0,0,0,0,0
2025,Atlanta,17,Tessa Grubbs,103,5,20,29,0.293,45.5,87,23,8,191,100,0,1,7,20,20.8,53,9,59.4,35,92.1,0,-0.4
2025,Atlanta,77,Gia Day,75,3,16,33,0.199,39.2,65,21,11,166,49,1,145,8,11,40.4,57,2,33.3,51,83.6,0,0
2025,Atlanta,15,Magdalena Jehlárová,121,11,48,49,0.39,50.6,78,7,11,154,75,0,8,6,22,30.3,175,37,41.4,29,69,10,0.2
2025,Atlanta,14,Tia Jimerson,164,15,63,66,0.338,45.5,105,16,11,231,36.4,0,11,7,3,45.9,194,52,48.5,33,73.3,5,0.125
2025,Atlanta,11,Onye Ofoegbu,6,0,0,9,0.667,83.3,5,1,0,6,0,0,0,0,0,100,1,1,66.7,0,0,0,0
2025,Atlanta,2,Piyanut Pannoy,0,0,0,64,0,0,0,0,0,0,51.3,9,316,0,0,0,0,0,0,177,80.8,51,0.139
2025,Atlanta,20,Danielle Cuttino,211,11,44,62,0.208,36.1,175,43,31,485,100,0,1,10,12,37.8,148,26,49.6,74,75.5,3,0.167
2025,Atlanta,12,Rachel Fairbanks,21,7,30,46,0.444,44.4,8,0,0,18,0,0,0,11,16,39,146,2,32.6,72,76.6,350,0.332
2025,Atlanta,13,McKenzie Adams,193,13,50,56,0.252,39.9,163,38,22,409,51,22,451,10,28,32.9,140,20,44.7,146,87.4,4,0
2025,Atlanta,16,Beatrice Negretti,0,0,0,12,0,0,0,0,0,0,52.9,2,17,0,0,46.2,13,0,0,10,83.3,5,0.133
2025,Atlanta,4,Jessica Rivero Marin,13,0,2,14,0.135,29.7,11,1,5,37,0,1,4,2,2,28.6,14,0,22.2,6,100,1,0
2025,Austin,11,Chiaka Ogbogu,161,15,56,56,0.327,46.8,103,20,11,220,66.7,0,3,5,22,44,191,53,50.5,40,80,7,0.143
2025,Austin,1,Khat Bell,53,1,9,25,0.227,37,44,11,6,119,0,0,0,2,4,58,50,7,45.2,37,77.1,3,0.333
2025,Austin,2,Leah Hardeman,48,3,15,21,0.114,28,37,11,11,132,38.2,12,131,2,14,44.6,65,9,62.2,44,86.3,2,0
2025,Austin,7,Asjia O'Neal,57,4,28,31,0.239,34.9,38,2,10,109,0,0,3,5,12,37.2,94,14,45.7,13,68.4,2,-0.08
2025,Austin,12,Carly DeHoog,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0
2025,Austin,6,Alessia Gennari,49,3,17,20,0.218,34.5,38,10,4,110,35.3,8,102,4,6,46.8,62,7,40,45,88.2,2,0
2025,Austin,33,Logan Eggleston,190,11,48,58,0.195,36.6,161,42,33,440,39,25,467,5,22,42.3,215,24,38.5,94,74.6,10,0.036
