"year","team","number","player","points","matches_started","sets_started","sets_played","hitting_efficiency","kill_percentage","kills","attack_errors","attacks_blocked","attack_attempts","in_system_percentage","reception_errors","reception_attempts","service_aces","service_errors","opponent_in_system_percentage","service_attempts","blocks","block_touch_percentage","digs","dig_percentage","assists","setting_efficiency"
2026,"Atlanta",10,"Rachel Fairbanks",63,20,72,75,0.493,58.2,39,4,2,67,50,0,2,14,20,35.7,272,10,42.2,152,77.6,780,0.309
2026,"Atlanta",11,"Onye Ofoegbu",73,7,22,28,0.52,59,59,3,4,100,0,0,3,2,13,34,53,12,33.7,18,72,2,0
2026,"Atlanta",6,"Miroslava Paskova",17,3,10,20,0.105,26.3,15,3,6,57,38,1,79,2,6,47.7,44,0,28.6,24,85.7,1,-0.4
2026,"Atlanta",16,"Beatrice Negretti",1,0,0,71,0,0,0,0,0,0,56,8,125,1,1,57.7,71,0,0,94,78.3,22,0.178
2026,"Atlanta",13,"McKenzie Adams",225,20,74,75,0.198,35.6,173,49,28,486,55.2,31,478,22,64,30.6,271,30,48.6,186,81.2,7,-0.1
2026,"Atlanta",2,"Piyanut Pannoy",0,0,0,63,0,0,0,0,0,0,68.7,9,182,0,0,100,1,0,0,170,76.2,61,0.215
2026,"Atlanta",12,"Carly DeHoog",38,0,3,32,0.212,36.5,31,5,8,85,75,0,4,1,1,50,16,6,50,12,75,2,0.25
2026,"Atlanta",22,"Julia Sangiacomo",113,10,36,49,0.242,37.1,95,18,15,256,37.5,13,309,7,9,45.5,112,11,43.4,54,75,3,0.222
2026,"Atlanta",15,"Magdalena Jehlárová",188,16,69,74,0.415,53,125,13,14,236,60.9,1,23,12,25,40.7,189,51,49.6,43,87.8,2,-0.08
2026,"Atlanta",23,"Kelsey Cook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,"Atlanta",18,"Ivonee Montaño",243,13,49,67,0.271,43,216,46,34,502,50,0,10,8,38,41.5,176,19,41.9,83,74.8,3,-0.1
2026,"Atlanta",27,"Eva Hudson",88,7,35,44,0.201,31.1,79,17,11,254,49.1,14,320,3,8,58.3,127,6,54.1,70,72.9,4,0.333
2026,"Atlanta",14,"Tia Jimerson",155,17,65,67,0.355,45,118,16,9,262,57.9,0,19,8,5,61,254,29,42,61,82.4,9,0.156
2026,"Atlanta",19,"Jess Robinson",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,"Atlanta",17,"Tessa Grubbs",135,7,27,27,0.205,37.9,111,29,22,293,0,0,0,7,22,25.6,82,17,51.9,46,88.5,1,-0.1
2026,"Atlanta",7,"Ella May Powell",7,0,6,47,0.4,50,5,0,1,10,0,0,0,1,4,48.1,54,1,38.5,35,67.3,129,0.232
2026,"Austin",11,"Bella Bergmark",56,5,26,31,0.358,46.3,44,4,6,95,22.2,0,9,2,7,50,80,10,38.5,17,73.9,1,0.25
2026,"Austin",22,"Bailey Miller",20,1,3,28,0.209,39.5,17,6,2,43,50.9,4,53,3,5,44.1,59,0,40,16,69.6,1,0.167
2026,"Austin",13,"Juliann Faucette",22,0,3,29,0.085,25.6,21,6,8,82,0,0,0,0,1,35.7,14,1,26.3,20,80,0,-0.3
2026,"Austin",10,"Zoe Jarvis",1,0,0,56,0,0,0,0,0,0,49.7,8,181,1,5,41.4,29,0,0,101,76.5,29,0.19
