year,team,opponent,date,points,hitting_efficiency,kill_percentage,kills,attack_errors,attacks_blocked,attack_attempts,in_system_percentage,reception_errors,reception_attempts,service_aces,service_errors,opponent_in_system_percentage,service_attempts,blocks,block_touch_percentage,digs,dig_percentage,assists,setting_efficiency
2025,Atlanta,Salt Lake,01/08/2025,65,0.236,35.7,50,10,7,140,50,1,78,4,6,46.2,93,11,32.8,66,76.7,47,0.237
2025,Atlanta,Austin,01/15/2025,77,0.236,41.9,62,18,9,148,63.1,4,84,5,13,33.3,93,10,41.8,64,84.2,62,0.25
2025,Atlanta,Madison,01/25/2025,86,0.288,41.3,66,12,8,160,52.7,5,93,9,16,37.9,103,11,40.3,71,86.6,62,0.275
2025,Atlanta,Salt Lake,01/31/2025,64,0.367,46.8,51,8,3,109,45.9,4,61,6,9,36.5,74,7,52.2,48,84.2,48,0.369
2025,Atlanta,Omaha,02/01/2025,77,0.203,39.2,62,17,13,158,58.8,2,80,7,10,42.1,95,8,55.6,55,80.9,58,0.192
2025,Atlanta,Salt Lake,02/07/2025,79,0.306,49.6,60,17,6,121,50.7,0,71,10,12,38.1,97,9,47.7,49,86,58,0.308
2025,Atlanta,Madison,02/08/2025,55,0.376,49.5,46,9,2,93,51,2,51,6,11,39.2,74,3,40,37,80.4,44,0.371
2025,Atlanta,Madison,02/21/2025,88,0.36,44.7,72,13,1,161,65.9,3,82,6,10,37.8,111,10,33.3,76,85.4,65,0.34
2025,Atlanta,Omaha,03/01/2025,91,0.303,41.7,73,11,9,175,53.4,5,103,5,9,39.6,111,13,35.4,68,78.2,66,0.279
2025,Atlanta,Houston,03/07/2025,81,0.189,36.6,60,13,16,164,55.8,4,95,3,9,39.8,98,18,58.9,69,81.2,59,0.195
2025,Atlanta,Austin,03/08/2025,69,0.15,29.4,47,10,13,160,38.3,2,81,8,6,38,100,14,46.3,67,82.7,44,0.137
2025,Atlanta,Houston,03/14/2025,84,0.216,36.4,59,15,9,162,56.3,1,87,7,12,35.2,105,18,48.2,66,84.6,56,0.206
2025,Atlanta,Salt Lake,03/15/2025,88,0.296,41.4,70,8,12,169,50,5,86,4,10,36,111,14,48.6,75,81.5,67,0.292
2025,Atlanta,Austin,03/22/2025,56,0.143,29.4,35,11,7,119,63.3,1,49,6,5,35.1,74,15,66,59,88.1,33,0.129
2025,Atlanta,Houston,03/27/2025,60,0.214,36.5,46,13,6,126,34.7,7,75,7,9,41.4,87,7,42,60,77.9,45,0.22
2025,Atlanta,Omaha,04/03/2025,57,0.292,38.1,43,5,5,113,52.6,2,57,3,8,33.8,74,11,37.5,56,83.6,43,0.297
2025,Austin,Madison,01/10/2025,48,0.247,37.1,36,5,7,97,39.6,2,53,1,5,48.6,74,11,61.1,47,77,34,0.253
2025,Austin,Houston,01/09/2025,90,0.155,32.5,63,18,15,194,44,7,109,5,9,36.8,114,22,41.2,76,91.6,58,0.141
2025,Austin,Atlanta,01/15/2025,56,0.19,31.4,43,7,10,137,38.8,5,80,4,9,57,93,9,41.4,51,69.9,41,0.182
