"year","team","opponent","date","points","hitting_efficiency","kill_percentage","kills","attack_errors","attacks_blocked","attack_attempts","in_system_percentage","reception_errors","reception_attempts","service_aces","service_errors","opponent_in_system_percentage","service_attempts","blocks","block_touch_percentage","digs","dig_percentage","assists","setting_efficiency"
2026,"Atlanta","Austin","01/11/2026",75,0.098,29.9,55,22,15,184,40.2,4,97,7,10,60.5,96,13,48.6,78,89.7,54,0.102
2026,"Atlanta","Austin","01/14/2026",76,0.258,39,62,16,5,159,57.3,2,82,5,8,46.5,94,9,49.1,73,81.1,61,0.26
2026,"Atlanta","Nebraska","01/18/2026",52,0.202,37.7,43,11,9,114,53.5,7,71,3,12,57.1,68,6,52.5,43,84.3,41,0.188
2026,"Atlanta","Houston","01/28/2026",80,0.224,39.5,60,12,14,152,56.3,2,96,10,9,40.2,96,10,47.6,67,79.8,59,0.219
2026,"Atlanta","Salt Lake","01/31/2026",39,0.202,38.1,32,6,9,84,47,9,66,2,13,50,53,5,45.5,29,69,32,0.202
2026,"Atlanta","Austin","02/04/2026",82,0.321,41,64,7,7,156,58.2,2,98,7,14,60.5,100,11,45.5,61,68.5,62,0.329
2026,"Atlanta","Madison","02/07/2026",63,0.355,45.5,50,6,5,110,56.1,2,57,2,13,45.2,75,11,47.5,41,83.7,46,0.35
2026,"Atlanta","Nebraska","02/14/2026",61,0.314,42.9,45,8,4,105,53.7,4,54,5,8,42.4,74,11,42.5,40,80,43,0.317
2026,"Atlanta","Houston","02/19/2026",77,0.43,47.9,68,3,4,142,45.5,5,88,7,13,37,94,2,30.4,55,71.4,65,0.439
2026,"Atlanta","Austin","02/22/2026",65,0.212,39.4,52,17,7,132,47.6,6,82,5,8,59.5,87,8,49,53,81.5,48,0.19
2026,"Atlanta","Salt Lake","03/01/2026",73,0.344,45,59,9,5,131,47.9,5,71,4,12,43.9,94,10,55.9,60,81.1,55,0.331
2026,"Atlanta","Salt Lake","03/05/2026",81,0.218,42.3,66,17,15,156,44.7,3,94,4,14,47.3,105,11,47.3,56,76.7,66,0.221
2026,"Atlanta","Madison","03/07/2026",63,0.237,39.3,53,12,9,135,48.2,6,83,1,8,43.4,84,9,39.2,55,77.5,50,0.223
2026,"Atlanta","Houston","03/14/2026",42,0.305,45.1,37,7,5,82,44.3,3,61,1,11,60.8,62,4,30,31,64.6,37,0.305
2026,"Atlanta","Nebraska","03/18/2026",60,0.301,44.7,46,5,10,103,51.5,5,66,3,8,48.5,74,11,53.7,41,82,44,0.293
2026,"Atlanta","Salt Lake","03/21/2026",57,0.26,40.6,39,11,3,96,44,1,50,4,9,47.7,74,14,50,44,80,38,0.255
2026,"Atlanta","Nebraska","03/25/2026",73,0.283,40.1,61,9,9,152,56.8,1,88,3,16,58.6,103,9,36.9,57,79.2,57,0.265
2026,"Atlanta","Madison","03/28/2026",57,0.355,45.2,42,7,2,93,51.7,1,58,2,7,50.7,74,13,39,43,91.5,42,0.363
2026,"Atlanta","Madison","04/02/2026",82,0.256,38.5,60,10,10,156,54.8,3,84,8,6,46.1,108,14,39.3,58,73.4,57,0.253
2026,"Atlanta","Houston","04/04/2026",88,0.343,43.4,72,8,7,166,60.2,6,108,5,17,48.9,107,11,44.4,63,70,69,0.338
2026,"Austin","Nebraska","01/07/2026",85,0.348,45.6,72,8,9,158,42.9,4,91,2,5,53.4,108,11,36.2,56,68.3,63,0.319
2026,"Austin","Atlanta","01/11/2026",67,0.131,28.6,48,13,13,168,60.5,7,86,4,5,40.2,102,15,46.3,77,85.6,46,0.124
2026,"Austin","Atlanta","01/14/2026",64,0.258,36.8,57,8,9,155,46.5,5,86,2,8,57.3,90,5,34,62,79.5,54,0.243
2026,"Austin","Madison","01/21/2026",92,0.304,40.5,68,7,10,168,58.8,5,85,10,9,46,109,14,40,70,83.3,65,0.3
2026,"Austin","Houston","01/24/2026",32,0.049,24.5,25,11,9,102,46.3,4,67,3,5,53.3,50,4,42.1,49,84.5,23,0.031
2026,"Austin","Salt Lake","01/29/2026",76,0.136,32,54,17,14,169,58.5,5,94,4,6,50,98,18,45.6,68,81,49,0.119
2026,"Austin","Nebraska","02/01/2026",70,0.362,46.5,59,9,4,127,43.7,2,71,2,7,41,90,9,40.9,57,76,53,0.35
2026,"Austin","Atlanta","02/04/2026",82,0.319,45,72,10,11,160,62.7,4,83,3,6,57,106,7,45.3,65,77.4,71,0.333
2026,"Austin","Houston","02/07/2026",79,0.28,39,64,9,9,164,45.7,5,94,5,10,41.6,99,10,46.4,73,76,61,0.272
2026,"Austin","Salt Lake","02/13/2026",40,0.093,27.8,30,10,10,108,45.2,4,62,1,7,44.2,59,9,44.9,48,84.2,29,0.084
2026,"Austin","Madison","02/20/2026",80,0.299,41.4,65,9,9,157,47.8,2,90,5,7,46.8,101,10,41.5,59,74.7,58,0.281
2026,"Austin","Atlanta","02/22/2026",58,0.167,34.1,45,15,8,132,60.3,4,78,6,4,47.6,86,7,36.6,45,72.6,45,0.183
2026,"Austin","Salt Lake","02/25/2026",68,0.321,40,56,6,5,140,56.7,4,67,4,9,47.6,93,8,44.6,62,83.8,52,0.304
2026,"Austin","Houston","03/06/2026",63,0.225,35.1,53,12,7,151,62.4,5,85,2,11,52.1,84,8,43.4,57,79.2,48,0.201
2026,"Austin","Houston","03/11/2026",69,0.214,34.5,58,13,9,168,53.3,3,92,2,7,61,89,9,52.9,68,85,57,0.213
2026,"Austin","Madison","03/15/2026",60,0.211,32.3,52,7,11,161,61,2,82,1,8,46.5,79,7,38.8,68,76.4,52,0.22
2026,"Austin","Nebraska","03/20/2026",68,0.315,43.5,54,8,7,124,60.3,2,78,7,8,44.7,84,7,32.8,43,66.2,52,0.311
2026,"Austin","Madison","03/26/2026",71,0.151,32.9,50,16,11,152,60.2,3,83,8,9,38.8,89,13,43.2,67,85.9,48,0.144
2026,"Austin","Salt Lake","04/02/2026",65,0.421,51.4,55,7,3,107,50,2,62,2,10,46.3,77,8,56,45,80.4,53,0.431
2026,"Austin","Nebraska","04/04/2026",90,0.287,39.7,69,11,8,174,48.5,3,99,6,12,43.3,109,15,39.7,57,78.1,67,0.293
2026,"Houston","Salt Lake","01/08/2026",46,0.265,40.8,40,8,6,98,28.8,5,66,3,5,46.7,65,3,31.4,39,70.9,37,0.247
2026,"Houston","Nebraska","01/11/2026",94,0.254,41.1,76,14,15,185,45.1,3,113,5,16,49.5,115,13,45,62,76.5,73,0.251
2026,"Houston","Salt Lake","01/22/2026",39,0.256,36.7,33,1,9,90,36.5,5,63,3,10,61.4,54,3,16.7,18,58.1,32,0.256
2026,"Houston","Austin","01/24/2026",58,0.283,39.8,45,9,4,113,53.3,3,45,4,7,46.3,74,9,55.6,49,86,41,0.279
2026,"Houston","Atlanta","01/28/2026",79,0.273,39.1,63,9,10,161,40.7,9,86,2,4,56.3,100,14,50.7,57,76,58,0.26
2026,"Houston","Madison","02/01/2026",57,0.356,45.2,47,6,4,104,42.3,7,52,5,8,33.3,74,5,43.6,44,89.8,47,0.363
2026,"Houston","Austin","02/07/2026",82,0.287,39.1,68,8,10,174,41.6,5,89,5,11,45.7,105,9,45,70,76.1,66,0.292
2026,"Houston","Nebraska","02/11/2026",60,0.459,53.1,52,3,4,98,43.1,0,51,4,7,49.3,74,4,34.2,40,83.3,50,0.453
2026,"Houston","Madison","02/15/2026",60,0.268,37.4,46,5,8,123,48.3,1,60,2,10,53.8,75,12,68,62,84.9,46,0.275
2026,"Houston","Atlanta","02/19/2026",78,0.363,43.9,69,10,2,157,37,7,81,5,8,45.5,96,4,50,59,77.6,68,0.368
2026,"Houston","Salt Lake","02/21/2026",70,0.276,39.3,57,10,7,145,47.4,7,76,6,6,52.2,96,7,41.1,69,81.2,55,0.268
2026,"Houston","Nebraska","02/26/2026",79,0.315,43.2,70,8,11,162,50.5,3,93,4,11,55.8,106,5,42.1,62,67.4,68,0.318
2026,"Houston","Madison","03/04/2026",60,0.392,51.5,50,7,5,97,51,4,51,2,7,44.8,74,8,41.2,35,77.8,49,0.394
2026,"Houston","Austin","03/06/2026",73,0.328,43.8,60,7,8,137,52.1,2,73,6,10,61.6,96,7,50,65,75.6,60,0.346
2026,"Houston","Austin","03/11/2026",78,0.31,42.6,66,9,9,155,61,2,82,3,6,53.3,98,9,42.6,67,80.7,57,0.286
2026,"Houston","Atlanta","03/14/2026",54,0.414,51.7,45,5,4,87,62,1,50,4,11,43.5,73,5,38.7,28,75.7,44,0.434
2026,"Houston","Madison","03/21/2026",49,0.19,34.7,42,10,9,121,53.8,0,65,2,5,41.4,63,5,43.2,40,74.1,39,0.183
2026,"Houston","Salt Lake","03/25/2026",58,0.359,43.7,45,4,4,103,54.9,1,51,4,5,44.9,74,9,53.5,55,78.6,41,0.337
2026,"Houston","Nebraska","04/01/2026",61,0.229,37.1,52,7,13,140,39.8,6,93,4,8,50.7,77,5,27.3,43,75.4,51,0.228
2026,"Houston","Atlanta","04/04/2026",85,0.306,42.4,72,9,11,170,48.9,5,90,6,6,60.2,114,7,46,67,72,66,0.29
2026,"Madison","Salt Lake","01/10/2026",51,0.193,33,36,5,10,109,48,0,50,2,7,56.1,73,13,54.8,50,83.3,35,0.208
2026,"Madison","Nebraska","01/16/2026",78,0.279,44.1,60,12,10,136,51.3,2,76,6,9,46,96,12,38.5,58,81.7,55,0.264
2026,"Madison","Austin","01/21/2026",77,0.211,35.1,60,10,14,171,46.5,9,99,7,6,57.5,93,10,44.1,74,79.6,57,0.226
2026,"Madison","Salt Lake","01/24/2026",64,0.237,35.5,54,7,11,152,57.6,10,92,3,10,50,90,7,36.2,53,68.8,47,0.206
2026,"Madison","Nebraska","01/30/2026",82,0.139,29.9,58,14,17,194,56.7,2,97,6,13,40.2,110,18,53.8,90,82.6,56,0.135
2026,"Madison","Houston","02/01/2026",42,0.198,32.3,31,7,5,96,33.3,5,66,7,7,42.3,59,4,23.7,36,83.7,30,0.222
2026,"Madison","Salt Lake","02/05/2026",65,0.227,35.5,50,11,7,141,48.2,6,85,3,10,66.2,84,12,45.2,44,71,49,0.237
2026,"Madison","Atlanta","02/07/2026",43,0.185,33.3,36,5,11,108,45.2,2,62,2,8,56.1,65,5,52.5,47,72.3,34,0.173
2026,"Madison","Houston","02/15/2026",45,0.103,28.6,36,11,12,126,54.7,1,64,1,4,48.3,64,8,53.1,53,79.1,35,0.096
2026,"Madison","Austin","02/20/2026",84,0.333,45.1,73,9,10,162,46.8,5,94,2,13,47.8,103,9,38.6,61,75.3,71,0.327
2026,"Madison","Nebraska","02/22/2026",85,0.291,41.7,73,13,9,175,41.6,1,101,6,10,44.2,105,6,35.5,71,76.3,68,0.272
2026,"Madison","Houston","03/04/2026",43,0.213,38.2,34,7,8,89,44.8,2,67,4,8,51,59,5,25,27,75,34,0.216
2026,"Madison","Atlanta","03/07/2026",67,0.241,36.9,52,9,9,141,43.4,1,76,6,9,48.2,92,9,44.2,56,80,46,0.22
2026,"Madison","Nebraska","03/12/2026",39,0.173,33.7,33,5,11,98,40,6,65,2,7,48,57,4,37.8,42,76.4,31,0.16
2026,"Madison","Austin","03/15/2026",73,0.293,40,60,9,7,150,46.5,1,71,2,8,61,90,11,55.1,75,82.4,57,0.296
2026,"Madison","Houston","03/21/2026",58,0.385,47.1,49,4,5,104,42.1,1,57,0,8,53.8,73,9,45.3,49,84.5,48,0.394
2026,"Madison","Austin","03/26/2026",58,0.146,29.1,44,9,13,151,38.8,8,80,3,5,60.2,88,11,52.5,67,84.8,42,0.153
2026,"Madison","Atlanta","03/28/2026",45,0.142,35,42,12,13,120,50.7,2,67,1,6,51.7,64,2,45.5,36,80,41,0.157
2026,"Madison","Atlanta","04/02/2026",75,0.194,37.6,62,16,14,165,46.1,8,102,3,10,54.8,94,10,33.9,55,72.4,60,0.203
2026,"Madison","Salt Lake","04/04/2026",69,0.224,34.6,54,10,9,156,36.8,2,87,5,10,50.6,87,10,46.3,61,76.3,54,0.247
2026,"Nebraska","Austin","01/07/2026",84,0.296,43.2,70,11,11,162,53.4,2,103,5,10,42.4,102,9,48.1,59,71.1,68,0.299
2026,"Nebraska","Houston","01/11/2026",86,0.236,38.2,68,13,13,178,49.5,5,99,3,6,45.1,119,15,37.2,63,74.1,63,0.216
2026,"Nebraska","Madison","01/16/2026",61,0.189,34.3,49,10,12,143,46,6,87,2,9,51.3,85,10,32.7,46,75.4,47,0.193
2026,"Nebraska","Atlanta","01/18/2026",53,0.22,37,37,9,6,100,57.1,3,56,7,4,53.5,75,9,48.8,43,84.3,36,0.216
2026,"Nebraska","Madison","01/30/2026",78,0.137,29.9,59,14,18,197,41.1,4,95,2,11,56.7,108,17,55,86,86.9,54,0.116
2026,"Nebraska","Austin","02/01/2026",60,0.248,37.2,54,9,9,145,41,2,83,2,8,43.7,79,4,45.2,53,79.1,54,0.29
2026,"Nebraska","Salt Lake","02/07/2026",72,0.286,42.1,59,10,9,140,36.5,6,85,4,6,52.5,86,9,53.2,54,76.1,56,0.278
2026,"Nebraska","Houston","02/11/2026",40,0.2,36,36,12,4,100,50,4,66,0,2,43.1,53,4,36.1,34,65.4,33,0.177
2026,"Nebraska","Atlanta","02/14/2026",41,0.155,32,33,6,11,103,42.4,5,66,4,6,53.7,60,4,41.9,41,89.1,32,0.15
