"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2024,"Atlanta",NA,"Edmond, Leah",89,24,438,4.92,381,4.28,139,963,25.1,8,0.09,12,0.14,42,261,2.93,45,0.51,0
2024,"Atlanta",NA,"Wade, Grace",29,11,71,2.45,53,1.83,23,187,16,2,0.07,3,0.1,9,44,1.52,15,0.52,2
2024,"Atlanta",NA,"Nwokolo, Chiamaka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Atlanta",1,"Member-Meneh, Leketor",67,22,185,2.76,156,2.33,71,470,18.1,6,0.09,12,0.18,27,177,2.64,17,0.25,2
2024,"Atlanta",3,"Fanning, Shelly",87,24,230,2.64,164,1.89,54,396,27.8,22,0.25,19,0.22,38,58,0.67,47,0.54,0
2024,"Atlanta",7,"Lazareva, Anna",59,17,278,4.71,241,4.08,80,566,28.4,5,0.09,11,0.19,19,197,3.34,26,0.44,2
2024,"Atlanta",8,"Hiapo, Kamaile",43,20,4,0.09,0,0,0,0,0,1,0.02,4,0.09,4,14,0.33,0,0,0
2024,"Atlanta",9,"Hentz, Morgan",89,24,0,0,0,0,0,0,0,108,1.21,0,0,0,374,4.2,0,0,2
2024,"Atlanta",12,"Stringer, Tori",70,NA,46,0.66,25,0.36,7,85,21.2,663,9.47,7,0.1,27,176,2.51,14,0.2,11
2024,"Atlanta",14,"Bower, Whitney",14,10,1,0.07,0,0,0,0,0,5,0.36,1,0.07,3,8,0.57,0,0,2
2024,"Atlanta",15,"Jehlářová, Magdalena",58,19,161,2.78,105,1.81,29,229,33.2,6,0.1,8,0.14,21,28,0.48,48,0.83,0
2024,"Atlanta",16,"Watson, Karis",37,12,62,1.68,40,1.08,11,104,27.9,0,0,1,0.03,11,21,0.57,21,0.57,1
2024,"Atlanta",17,"Linnehan, Alli",54,18,56,1.04,45,0.83,21,209,11.5,2,0.04,4,0.07,7,98,1.81,7,0.13,0
