"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2026,"Atlanta",1,"Smith, Taylor",71,25,162,2.28,144,2.03,74,471,0.149,4,0.06,0,4,0.06,15,214,3.01,14,0.2
2026,"Atlanta",2,"Carlson, Averi",96,25,35,0.36,12,0.13,5,54,0.13,923,9.62,16,15,0.16,21,236,2.46,8,0.08
2026,"Atlanta",5,"Colvin, Raven",38,9,96,2.53,62,1.63,24,158,0.241,5,0.13,0,8,0.21,18,27,0.71,26,0.68
2026,"Atlanta",7,"Timmer, Pia",85,25,109,1.28,95,1.12,33,327,0.19,13,0.15,2,9,0.11,15,117,1.38,5,0.06
2026,"Atlanta",8,"Rampelberg, Britt",78,20,0,0,0,0,0,0,0,51,0.65,1,0,0,0,262,3.36,0,0
2026,"Atlanta",11,"Shields, Shannon",41,18,20,0.49,14,0.34,5,36,0.25,220,5.37,5,1,0.02,5,61,1.49,5,0.12
2026,"Atlanta",12,"Martin, Ava",48,24,23,0.48,20,0.42,16,86,0.047,5,0.1,0,1,0.02,14,25,0.52,2,0.04
2026,"Atlanta",13,"Edmond, Leah",105,27,436,4.15,382,3.64,120,1088,0.241,21,0.2,4,20,0.19,57,284,2.71,34,0.32
2026,"Atlanta",15,"Jones, Aiko",99,28,362,3.66,314,3.17,116,894,0.221,16,0.16,5,11,0.11,43,215,2.17,37,0.37
2026,"Atlanta",16,"Waak, Maddie",9,3,6,0.67,4,0.44,1,7,0.429,79,8.78,2,2,0.22,3,16,1.78,0,0
2026,"Atlanta",20,"Isringhausen, Madolyn",20,10,31,1.55,26,1.3,20,102,0.059,0,0,0,0,0,4,19,0.95,5,0.25
2026,"Atlanta",22,"Louis, Khori",48,13,83,1.73,59,1.23,16,154,0.279,5,0.1,2,7,0.15,19,25,0.52,17,0.35
2026,"Atlanta",23,"McKissock, Elli",65,22,0,0,0,0,0,0,0,19,0.29,0,0,0,2,152,2.34,0,0
2026,"Atlanta",24,"Dixon, Anna",53,23,120,2.26,105,1.98,50,271,0.203,3,0.06,1,5,0.09,14,74,1.4,10,0.19
2026,"Atlanta",25,"Moore, Jackie",48,15,87,1.81,75,1.56,12,149,0.423,1,0.02,3,2,0.04,13,26,0.54,10,0.21
2026,"Atlanta",27,"Awoleye, Phoebe",57,17,122,2.14,81,1.42,15,205,0.322,4,0.07,1,1,0.02,11,33,0.58,40,0.7
2026,"Atlanta",44,"Mendelson, Maggie",40,11,82,2.05,58,1.45,13,160,0.281,4,0.1,0,6,0.15,12,20,0.5,18,0.45
2026,"Columbus",1,"Jones, Rainelle",23,11,33,1.43,18,0.78,4,34,0.412,0,0,0,2,0.09,10,5,0.22,13,0.56
2026,"Columbus",2,"Winterhoff, Maya",17,10,7,0.41,6,0.35,1,12,0.417,1,0.06,0,0,0,2,2,0.12,1,0.06
2026,"Columbus",3,"Anderson, Akasha",47,20,109,2.32,101,2.15,51,308,0.162,1,0.02,2,2,0.04,24,69,1.47,6,0.13
2026,"Columbus",4,"White, Ryan",25,9,0,0,0,0,0,0,0,4,0.16,0,0,0,5,54,2.16,0,0
2026,"Columbus",7,"Hodge, Jaelyn",64,22,114,1.78,104,1.63,64,309,0.129,4,0.06,1,0,0,22,99,1.55,10,0.16
2026,"Columbus",8,"Hiapo, Kamaile",87,26,0,0,0,0,0,0,0,58,0.67,1,0,0,0,260,2.99,0,0
2026,"Columbus",10,"Gomez, Rachel",42,18,68,1.62,52,1.24,21,135,0.23,6,0.14,0,3,0.07,15,20,0.48,13,0.31
2026,"Columbus",11,"Pak, Audrey",70,24,44,0.63,28,0.4,7,79,0.266,516,7.37,7,3,0.04,9,161,2.3,13,0.19
2026,"Columbus",12,"Heredia Colon, Flormarie",10,3,43,4.3,36,3.6,24,88,0.136,1,0.1,0,3,0.3,5,13,1.3,4,0.4
2026,"Columbus",13,"Evans, Ashley",86,26,47,0.55,27,0.31,11,81,0.198,584,6.79,9,7,0.08,20,192,2.23,13,0.15
2026,"Columbus",14,"Ford, Brianna",21,9,28,1.33,23,1.09,14,63,0.143,5,0.24,0,3,0.14,13,34,1.62,2,0.1
2026,"Columbus",15,"Jegdic, Aleksandra",34,8,0,0,0,0,0,0,0,30,0.88,1,0,0,0,118,3.47,0,0
2026,"Columbus",16,"Terry, Raina",105,28,475,4.52,408,3.89,179,1239,0.185,9,0.09,3,16,0.15,48,232,2.21,51,0.49
2026,"Columbus",17,"Lush, Megan",105,27,260,2.48,209,1.99,109,750,0.133,25,0.24,2,10,0.1,24,301,2.87,41,0.39
2026,"Columbus",21,"Pittman-Nelson, Regan",95,26,240,2.53,167,1.76,60,412,0.26,11,0.12,4,5,0.05,20,80,0.84,68,0.72
2026,"Columbus",22,"Williams, Kashauna",27,12,45,1.67,40,1.48,25,126,0.119,0,0,0,1,0.04,9,33,1.22,4,0.15
2026,"Columbus",24,"Walker, Abby",84,28,134,1.6,97,1.16,22,284,0.264,6,0.07,0,5,0.06,19,51,0.61,32,0.38
2026,"Columbus",58,"Fricano, Taylor",11,3,29,2.64,21,1.91,14,71,0.099,0,0,0,2,0.18,3,17,1.54,6,0.55
2026,"Dallas",1,"Valentin-Anderson, Natalia",103,27,61,0.59,33,0.32,5,99,0.283,1221,11.85,26,8,0.08,37,357,3.47,20,0.19
2026,"Dallas",2,"Maldonado Diaz, Sofia",98,27,484,4.94,420,4.29,171,1056,0.236,10,0.1,3,21,0.21,84,173,1.76,43,0.44
2026,"Dallas",3,"Cullen, Celia",8,4,0,0,0,0,1,3,-0.333,39,4.88,0,0,0,1,11,1.38,0,0
2026,"Dallas",6,"Murr, Kylie",91,25,0,0,0,0,0,0,0,68,0.75,1,0,0,0,312,3.43,0,0
2026,"Dallas",7,"Van Buskirk, Layne",72,20,186,2.58,135,1.88,42,268,0.347,3,0.04,0,8,0.11,22,25,0.35,43,0.6
2026,"Dallas",8,"Payne, Kelsie",87,28,113,1.3,75,0.86,31,256,0.172,7,0.08,0,4,0.05,14,103,1.18,34,0.39
2026,"Dallas",9,"Cox, Kaylee",92,27,217,2.36,184,2,51,479,0.278,25,0.27,0,7,0.08,11,201,2.19,26,0.28
2026,"Dallas",10,"White, Kendall",22,10,0,0,0,0,0,0,0,19,0.86,1,0,0,0,50,2.27,0,0
